Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""mlt-d101s/""><b>Samsung MLT-D101S</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/ьд-2160/"">ML-2160</a>, <a href=""/printer/samsung/scx-3400/"">SCX-3400</a>, <a href=""/printer/samsung/scx-3405w/"">SCX-3405W</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""mlt-d104s/""><b>Samsung MLT-D104S/SEE</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/scx-3207/"">SCX 3207</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ml-1210/""><b>Samsung ML-1210D3</b></a><div class=""icons""><span class=""ico-logistic-small left"" title=""круглосуточная доставка""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/ml1210/"">ML-1210</a>, <a href=""/printer/samsung/ml-1010/"">ML-1010</a>, <a href=""/printer/samsung/ml-1020m/"">ML-1020M</a>, <a href=""/printer/samsung/ml-1220m/"">ML-1220M</a>, <a href=""/printer/samsung/ml-1250/"">ML-1250</a>, <a href=""/printer/samsung/ml-1430/"">ML-1430</a>, <a href=""/printer/samsung/ml-1210/"">ML-1210</a></div>",1900          ,1800          ,4660,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ml-d3050a/""><b>Samsung ML-D3050A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/ml-3051nd/"">ML-3051ND</a></div>",1620          ,1570          ,7650,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""clp-500d5c/""><b>Samsung CLP-500D5C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-500/"">CLP-500</a>, <a href=""/printer/samsung/clp-500n/"">CLP-500N</a>, <a href=""/printer/samsung/clp-550/"">CLP-550</a>, <a href=""/printer/samsung/clp-550n/"">CLP-550N</a></div>",-          ,-          ,2500,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""clp-500d5m/""><b>Samsung CLP-500D5M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-550n/"">CLP-550N</a></div>",-          ,-          ,2500,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""clp-500d5y/""><b>Samsung CLP-500D5Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-550n/"">CLP-550N</a></div>",-          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""clp-510d3k/""><b>Samsung CLP-510D3K</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-510/"">CLP-510</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""clp-510d5m/""><b>Samsung CLP-510D5M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-510/"">CLP-510</a></div>",-          ,-          ,2500,"<span class=""rini_color-square-magenta""></span>"
